owner,sum_size,unique_packages,unique_resources,sum_ds_fields,sum_ds_n_rows
aafc-aac,599.9KB,9,27,20.0,102.0
atssc-scdata,1.2KB,4,4,0.0,0.0
cbsa-asfc,95.1MB,3,6,18.0,1383528.0
cer-rec,2.3KB,1,1,0.0,0.0
cfia-acia,130.0MB,64,85,467.0,404826.0
cic,464.2KB,2,2,7.0,169.0
cnsc-ccsn,88.1MB,9,31,213.0,1113074.0
cra-arc,1.4GB,44,452,3425.0,10463546.0
csa-asc,187.5KB,2,3,29.0,781.0
csc-scc,20.2KB,1,14,0.0,0.0
csec-cstc,9.6KB,12,14,19.0,24.0
csps-efpc,12.6MB,1,1,73.0,4776.0
dfatd-maecd,2.6MB,16,43,213.0,6725.0
dfo-mpo,411.1KB,1,2,0.0,0.0
dnd-mdn,207.6MB,18,22,56.0,4133.0
ec,0.0B,1,2,0.0,0.0
elections,1.2MB,4,23,231.0,14650.0
esdc-edsc,554.2MB,48,581,5458.0,540283.0
fin,533.5KB,6,14,74.0,1499.0
hc-sc,661.7MB,47,119,3401.0,368573.0
iaac-aeic,63.5MB,1,2,245.0,42384.0
ic,134.7KB,8,23,32.0,182.0
infc,152.6KB,1,2,0.0,0.0
irb-cisr,1.2MB,2,16,0.0,0.0
isc-sac,967.9KB,6,10,84.0,2575.0
lac-bac,2.6KB,8,8,26.0,32.0
nrc-cnrc,4.4MB,1,1,8.0,3554.0
nrcan-rncan,7.9GB,10,53,8813.0,4481055.0
opc-cpvp,1.5MB,7,13,0.0,0.0
osfi-bsif,5.7GB,9,74,527.0,8968845.0
pc,622.6MB,461,937,4591.0,4068997.0
pch,2.1MB,6,7,25.0,20923.0
pco-bcp,310.7MB,2,3,132.0,481870.0
phac-aspc,647.4KB,4,47,674.0,46268.0
psc-cfp,985.5MB,15,122,337.0,267818.0
pwgsc-tpsgc,13.5KB,1,1,0.0,0.0
rcmp-grc,72.0MB,1,1,21.0,350361.0
ssc-spc,6.7MB,16,39,99.0,4754.0
tbs-sct,6.5GB,56,205,1130.0,10567174.0
tc,260.0MB,14,39,240.0,1733944.0
vac-acc,260.7KB,3,12,0.0,0.0
wd-deo,1.8KB,10,10,10.0,24.0
